title,link,square_meters,rooms,price,date,district
YAKINCADA YATAY MİMARİ ALTI KATLI BİNANDA 3+1 DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-yakincada-yatay-mimari-alti-katli-binanda-3-plus1-daireler-1143509923/detay,170,3+1,2450000,20 Ocak 2024,YeşilyurtKöyler
HAKAN AKAY GAYRİMENKUL'DEN TECDE DE 4+1 LÜX DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-hakan-akay-gayrimenkul-den-tecde-de-4-plus1-lux-daire-1148945327/detay,220,4+1,2900000,19 Ocak 2024,YeşilyurtMerkez
SAHİBİNDEN SATILIK LÜKS 2+1 DAİRE 8. Ayda temel atılmıştır.,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-satilik-luks-2-plus1-daire-8-ayda-temel-atilmistir-1123793263/detay,110,2+1,2750000,18 Ocak 2024,BattalgaziMerkez
AYGÜL EMLAKTAN ACİL ÖZALPERDE 3+1 SATILIK DUBLEKS DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-aygul-emlaktan-acil-ozalperde-3-plus1-satilik-dubleks-daire-1117928007/detay,220,3+1,1875000,17 Ocak 2024,YeşilyurtMerkez
FURKAN KELEŞ'DEN TECDE'DE BEDAVA SIFIR 3+1 GİRİŞ KAT,https://www.sahibinden.com/ilan/emlak-konut-satilik-furkan-keles-den-tecde-de-bedava-sifir-3-plus1-giris-kat-1136463818/detay,165,3+1,1940000,17 Ocak 2024,YeşilyurtMerkez
REFERANS'TAN BAŞHARIK MAHALLESİNDE 3+1 ULTRA LÜKS DAİRE PROJESİ,https://www.sahibinden.com/ilan/emlak-konut-satilik-referans-tan-basharik-mahallesinde-3-plus1-ultra-luks-daire-projesi-1148171693/detay,150,3+1,3250000,16 Ocak 2024,BattalgaziMerkez
ACİL SATLIK 4+1 + KİLER ÖZEL YAPILI DAİRE OTURMAYA HAZIR,https://www.sahibinden.com/ilan/emlak-konut-satilik-acil-satlik-4-plus1-plus-kiler-ozel-yapili-daire-oturmaya-hazir-1113423334/detay,275,4.5+1,3950000,15 Ocak 2024,YeşilyurtMerkez
REFERANS'TAN KERNEK MEYDANINDA 1+1 VIP REZİDANS,https://www.sahibinden.com/ilan/emlak-konut-satilik-referans-tan-kernek-meydaninda-1-plus1-vip-rezidans-1147986184/detay,75,1+1,1700000,15 Ocak 2024,BattalgaziMerkez
"NİKAH SARAYI YANINDA, LÜKS ARAÇ TAKASLI DOĞU, KUZEY CEP.",https://www.sahibinden.com/ilan/emlak-konut-satilik-nikah-sarayi-yaninda-luks-arac-takasli-dogu-kuzey-cep-1119295247/detay,195,3+1,2950000,20 Aralık 2023,YeşilyurtMerkez
***TANDOĞAN MAH. 4 KATLI TEK BLOKLU BİNA 3+1 DAİRE(KISA SÜRE)***,https://www.sahibinden.com/ilan/emlak-konut-satilik-tandogan-mah-4-katli-tek-bloklu-bina-3-plus1-daire-kisa-sure-1130807006/detay,160,3+1,2150000,20 Ocak 2024,BattalgaziMerkez
